order_number,order_line_number,customer_key,product_key,order_date,ship_date,location_key,payment_type,payment_provider,shipping_type,carrier,quantity,unit_price,unit_cost,discount_amount,tax_amount,shipping_cost,line_total,line_profit,order_total,order_status
ORD-00001001,1,CUST-000054,PROD-000481,2024-12-06,2024-12-07,LOC-0031,Digital Wallet,PayPal,Overnight,FedEx,5,430.93,272.11,0.0,172.37,13.1,2154.65,794.1,2340.12,Delivered
ORD-00001002,1,CUST-000517,PROD-000496,2024-09-10,2024-09-12,LOC-0026,Digital Wallet,PayPal,Standard,UPS,5,647.1,393.24,277.85,236.61,6.7,2957.65,991.45,3200.96,Delivered
ORD-00001003,1,CUST-000348,PROD-000364,2024-11-07,,LOC-0009,Credit Card,Mastercard,Express,FedEx,5,746.61,362.71,0.0,298.64,7.6,3733.05,1919.5,4039.29,Processing
ORD-00001004,1,CUST-000131,PROD-000463,2025-10-27,2025-10-29,LOC-0024,Digital Wallet,Apple Pay,Express,FedEx,3,192.61,108.04,0.0,46.23,12.62,577.83,253.71,636.68,Delivered
ORD-00001005,1,CUST-000321,PROD-000285,2024-08-15,2024-08-16,LOC-0021,Digital Wallet,Google Pay,Standard,UPS,4,137.87,60.44,43.97,40.6,7.3,507.51,265.75,555.41,Delivered
ORD-00001006,1,CUST-000267,PROD-000021,2025-08-01,2025-08-03,LOC-0028,Credit Card,Mastercard,Express,UPS,4,315.51,128.04,0.0,100.96,12.09,1262.04,749.88,1375.09,Delivered
ORD-00001007,1,CUST-000505,PROD-000048,2024-11-17,2024-11-20,LOC-0010,Credit Card,Mastercard,Express,FedEx,2,48.9,29.91,0.0,7.82,6.81,97.8,37.98,112.43,Delivered
ORD-00001008,1,CUST-000521,PROD-000498,2024-10-19,2024-10-22,LOC-0038,Debit Card,Visa,Overnight,FedEx,1,245.66,152.19,0.0,19.65,10.71,245.66,93.47,276.02,Shipped
ORD-00001009,1,CUST-000079,PROD-000146,2024-09-08,2024-09-10,LOC-0007,Digital Wallet,PayPal,Standard,USPS,1,137.74,56.82,0.0,11.02,10.9,137.74,80.92,159.66,Delivered
ORD-00001009,2,CUST-000079,PROD-000429,2024-09-08,2024-09-10,LOC-0007,Digital Wallet,PayPal,Standard,USPS,3,583.58,366.99,115.92,130.79,0.0,1634.82,533.85,1925.27,Delivered
ORD-00001009,3,CUST-000079,PROD-000338,2024-09-08,2024-09-10,LOC-0007,Digital Wallet,PayPal,Standard,USPS,4,276.62,156.45,0.0,88.52,0.0,1106.48,480.68,3120.27,Delivered
ORD-00001009,4,CUST-000079,PROD-000305,2024-09-08,2024-09-10,LOC-0007,Digital Wallet,PayPal,Standard,USPS,1,627.22,446.06,0.0,50.18,0.0,627.22,181.16,3797.67,Delivered
ORD-00001010,1,CUST-000638,PROD-000442,2024-12-20,,LOC-0021,Credit Card,American Express,Standard,UPS,1,251.96,132.84,0.0,20.16,7.83,251.96,119.12,279.95,Cancelled
ORD-00001010,2,CUST-000638,PROD-000381,2024-12-20,,LOC-0021,Credit Card,American Express,Standard,UPS,1,464.08,256.75,0.0,37.13,0.0,464.08,207.33,781.16,Cancelled
ORD-00001011,1,CUST-000095,PROD-000011,2023-12-31,2024-01-01,LOC-0016,Digital Wallet,Apple Pay,Standard,USPS,2,338.02,185.19,139.2,42.95,7.85,536.84,166.46,587.64,Delivered
ORD-00001011,2,CUST-000095,PROD-000335,2023-12-31,2024-01-01,LOC-0016,Digital Wallet,Apple Pay,Standard,USPS,2,487.67,246.21,144.52,66.47,0.0,830.82,338.4,1484.93,Delivered
ORD-00001012,1,CUST-000826,PROD-000341,2025-09-30,,LOC-0039,Credit Card,American Express,Express,FedEx,1,1003.07,407.77,0.0,80.25,10.13,1003.07,595.3,1093.45,Processing
ORD-00001013,1,CUST-000907,PROD-000388,2024-02-01,2024-02-03,LOC-0037,Digital Wallet,Apple Pay,Standard,USPS,4,552.42,326.57,0.0,176.77,11.14,2209.68,903.4,2397.59,Delivered
ORD-00001014,1,CUST-000437,PROD-000115,2025-03-24,2025-03-27,LOC-0022,Digital Wallet,Google Pay,Overnight,UPS,2,407.91,203.62,0.0,65.27,10.27,815.82,408.58,891.36,Delivered
ORD-00001015,1,CUST-000086,PROD-000077,2024-06-27,2024-06-29,LOC-0006,Digital Wallet,Google Pay,Express,FedEx,2,442.62,273.92,0.0,70.82,8.0,885.24,337.4,964.06,Delivered
ORD-00001016,1,CUST-000438,PROD-000263,2023-12-02,2023-12-03,LOC-0036,Credit Card,Mastercard,Standard,USPS,1,860.7,373.87,0.0,68.86,9.13,860.7,486.83,938.69,Delivered
ORD-00001017,1,CUST-000738,PROD-000042,2025-04-16,2025-04-18,LOC-0023,Debit Card,Mastercard,Overnight,FedEx,5,342.36,185.75,339.11,109.82,9.63,1372.69,443.94,1492.14,Delivered
ORD-00001017,2,CUST-000738,PROD-000432,2025-04-16,2025-04-18,LOC-0023,Debit Card,Mastercard,Overnight,FedEx,4,170.2,98.62,90.72,47.21,0.0,590.08,195.6,2129.43,Delivered
ORD-00001017,3,CUST-000738,PROD-000161,2025-04-16,2025-04-18,LOC-0023,Debit Card,Mastercard,Overnight,FedEx,5,19.74,14.02,0.0,7.9,0.0,98.7,28.6,2236.03,Delivered
ORD-00001017,4,CUST-000738,PROD-000231,2025-04-16,2025-04-18,LOC-0023,Debit Card,Mastercard,Overnight,FedEx,5,1152.69,464.28,0.0,461.08,0.0,5763.45,3442.05,8460.56,Delivered
ORD-00001018,1,CUST-000941,PROD-000041,2025-02-01,,LOC-0012,Debit Card,Visa,Standard,UPS,5,240.81,150.44,0.0,96.32,11.73,1204.05,451.85,1312.1,Processing
ORD-00001019,1,CUST-000019,PROD-000245,2025-01-22,2025-01-23,LOC-0001,Credit Card,American Express,Overnight,UPS,4,577.06,254.33,0.0,184.66,13.69,2308.24,1290.92,2506.59,Delivered
ORD-00001019,2,CUST-000019,PROD-000309,2025-01-22,2025-01-23,LOC-0001,Credit Card,American Express,Overnight,UPS,4,606.86,290.7,0.0,194.2,0.0,2427.44,1264.64,5128.23,Delivered
ORD-00001019,3,CUST-000019,PROD-000316,2025-01-22,2025-01-23,LOC-0001,Credit Card,American Express,Overnight,UPS,3,593.31,243.37,0.0,142.39,0.0,1779.93,1049.82,7050.55,Delivered
ORD-00001019,4,CUST-000019,PROD-000346,2025-01-22,2025-01-23,LOC-0001,Credit Card,American Express,Overnight,UPS,4,572.89,253.6,0.0,183.32,0.0,2291.56,1277.16,9525.43,Delivered
ORD-00001020,1,CUST-000139,PROD-000108,2025-03-19,2025-03-20,LOC-0002,Debit Card,Visa,Standard,USPS,4,731.84,333.05,0.0,234.19,11.5,2927.36,1595.16,3173.05,Delivered
ORD-00001021,1,CUST-000642,PROD-000155,2025-06-03,,LOC-0035,Debit Card,Visa,Standard,USPS,4,682.54,302.53,366.87,189.06,6.16,2363.29,1153.17,2558.51,Processing
ORD-00001021,2,CUST-000642,PROD-000379,2025-06-03,,LOC-0035,Debit Card,Visa,Standard,USPS,4,634.55,284.77,0.0,203.06,0.0,2538.2,1399.12,5299.77,Processing
ORD-00001022,1,CUST-000881,PROD-000425,2024-05-12,2024-05-13,LOC-0013,Debit Card,Mastercard,Overnight,FedEx,4,514.86,381.09,106.22,156.26,11.3,1953.22,428.86,2120.78,Delivered
ORD-00001022,2,CUST-000881,PROD-000213,2024-05-12,2024-05-13,LOC-0013,Debit Card,Mastercard,Overnight,FedEx,4,75.11,36.01,0.0,24.04,0.0,300.44,156.4,2445.26,Delivered
ORD-00001023,1,CUST-000568,PROD-000249,2024-05-25,,LOC-0003,Digital Wallet,Google Pay,Express,UPS,5,157.9,63.35,0.0,63.16,11.11,789.5,472.75,863.77,Cancelled
ORD-00001024,1,CUST-000837,PROD-000010,2024-10-03,,LOC-0015,Credit Card,Visa,Overnight,FedEx,4,1011.55,427.11,0.0,323.7,10.53,4046.2,2337.76,4380.43,Processing
ORD-00001025,1,CUST-000664,PROD-000481,2024-09-29,2024-10-01,LOC-0008,Digital Wallet,Google Pay,Overnight,FedEx,3,430.93,272.11,0.0,103.42,9.36,1292.79,476.46,1405.57,Delivered
ORD-00001026,1,CUST-000744,PROD-000113,2024-07-25,2024-07-27,LOC-0029,Debit Card,Visa,Overnight,FedEx,5,663.72,403.92,0.0,265.49,8.39,3318.6,1299.0,3592.48,Delivered
ORD-00001027,1,CUST-000863,PROD-000365,2024-05-21,2024-05-23,LOC-0009,Debit Card,Mastercard,Overnight,UPS,4,57.42,39.23,0.0,18.37,13.33,229.68,72.76,261.38,Shipped
ORD-00001028,1,CUST-000753,PROD-000354,2025-04-17,2025-04-19,LOC-0011,Debit Card,Visa,Express,FedEx,1,121.76,53.13,0.0,9.74,6.29,121.76,68.63,137.79,Delivered
ORD-00001029,1,CUST-000621,PROD-000108,2024-10-20,2024-10-22,LOC-0032,Debit Card,Mastercard,Standard,UPS,5,731.84,333.05,196.23,277.04,13.81,3462.97,1797.72,3753.82,Delivered
ORD-00001030,1,CUST-000163,PROD-000221,2024-08-31,2024-09-03,LOC-0003,Credit Card,Mastercard,Express,FedEx,1,366.74,218.97,0.0,29.34,6.21,366.74,147.77,402.29,Delivered
ORD-00001031,1,CUST-000265,PROD-000137,2023-12-18,,LOC-0023,Credit Card,Visa,Overnight,FedEx,2,565.59,285.45,0.0,90.49,13.74,1131.18,560.28,1235.41,Cancelled
